"","V1","V2","V3","V4","V5"
"1",10057,57492,0.91304347826087,0,0.91304347826087
"2",84765,56911,0.91304347826087,0,0.91304347826087
"3",56912,23469,0.869565217391304,0,0.869565217391304
"4",84817,23549,0.956521739130435,0.1,0.856521739130435
"5",27065,6646,0.826086956521739,0,0.826086956521739
"6",400506,348995,0.826086956521739,0,0.826086956521739
"7",400506,4686,0.826086956521739,0,0.826086956521739
"8",400506,57187,0.826086956521739,0,0.826086956521739
"9",65985,3097,0.826086956521739,0,0.826086956521739
"10",7113,54112,0.826086956521739,0,0.826086956521739
"11",10520,26051,0.91304347826087,0.1,0.81304347826087
"12",255520,4299,0.91304347826087,0.1,0.81304347826087
"13",387893,6837,0.91304347826087,0.1,0.81304347826087
"14",84765,23035,0.91304347826087,0.1,0.81304347826087
"15",9654,25909,0.91304347826087,0.1,0.81304347826087
